Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Origin,Food_Supply_Num,Flock_Size_Band,Flock_Size_Num,Flight_Distance_Category,Speed_Category,Altitude_Category,Temperature_Category,Wind_Speed_Category,Visibility_Category,Humidity_Category,Migration_Success_Num,Food_Flock_Interaction,Path,Migration_Behavior_Cluster,Cluster
Arctic Tern,South America,Wetland,Cloudy,Food,-27.1627,166.5943,-10.6936,130.7016,1097.83,22.79,56.05,2027.58,1163.9,-3.43,9.47,35.61,1030.24,19.48,Unsuccessful,97.53,10,12,3,2,No,1,Low,Good,Yes,Lost Signal,Unsuccessful,No,,Northern,1,Solo,1,Medium,Moderate,Medium,Cold,Low,Good,Moderate,0,1,"-27.16,166.59 -> -10.69,130.7",Balanced,0
Ruby-throated Hummingbird,South America,Coastal,Clear,Shelter,35.419,-69.2587,26.7786,-76.6101,529.66,7.49,70.94,1578.3,1318.27,5.46,18.82,26.03,994.68,10.1,Successful,86.57,2,4,4,1,No,1,Low,Good,Yes,Predator,Unsuccessful,No,,Southern,1,Solo,1,Short,High,Medium,Mild,Moderate,Good,Low,0,1,"35.42,-69.26 -> 26.78,-76.61",Balanced,0
Osprey,Europe,Forest,Cloudy,Climate,-27.1033,139.9094,-10.2814,142.8845,893.96,20.34,38.81,1224.41,1007.53,29.29,7.07,67.28,998.15,17.65,Successful,100.0,4,5,5,1,Yes,29,Medium,Good,Yes,Lost Signal,Unsuccessful,No,,Western,2,Large,29,Short,Low,Medium,Warm,Low,Good,High,0,58,"-27.1,139.91 -> -10.28,142.88",Flock-Oriented,1
European Stork,Asia,Coastal,Windy,Shelter,-0.2739,135.5806,4.237,134.4083,1832.53,46.7,40.25,3822.17,3117.82,13.2,22.65,85.96,1037.41,19.94,Successful,81.73,2,3,5,6,Yes,31,High,Excellent,No,,Successful,Yes,7.3058643407130734,Eastern,3,Large,31,Medium,Moderate,High,Mild,Moderate,Good,Very High,1,93,"-0.27,135.58 -> 4.24,134.41",Flock-Oriented,1
European Stork,South America,Grassland,Cloudy,Climate,27.2334,120.7182,47.1251,82.4306,3517.22,49.82,65.07,1520.19,1305.76,13.06,10.78,86.65,1025.36,12.35,Successful,72.51,6,7,6,5,Yes,40,High,Excellent,No,,Successful,Yes,7.839677294561245,Northern,3,Large,40,Long,Moderate,Medium,Mild,Low,Good,Very High,1,120,"27.23,120.72 -> 47.13,82.43",Flock-Oriented,1
Ruby-throated Hummingbird,Asia,Forest,Clear,Shelter,65.1385,-116.0895,75.0,-117.0145,2445.58,54.7,44.92,2631.57,2069.72,27.8,5.44,49.82,1050.0,7.17,Successful,77.19,4,5,4,0,Yes,14,Medium,Excellent,No,,Successful,Yes,9.031877537213566,Central,2,Medium,14,Medium,Moderate,High,Warm,Low,Low,Moderate,1,28,"65.14,-116.09 -> 75.0,-117.01",Balanced,0
Arctic Tern,Asia,Grassland,Cloudy,Breeding,-47.4521,54.3149,-52.7964,13.8214,2609.31,51.64,48.72,497.6,50.0,20.14,22.97,53.0,1050.0,9.24,Unsuccessful,87.68,10,2,5,3,No,1,Medium,Fair,Yes,Food Shortage,Unsuccessful,No,,Northern,2,Solo,1,Long,Moderate,Low,Warm,Moderate,Low,Moderate,0,2,"-47.45,54.31 -> -52.8,13.82",Balanced,0
Osprey,North America,Wetland,Windy,Climate,-27.2964,-40.836,10.4487,-87.7882,745.94,3.45,60.82,200.0,50.0,18.73,30.53,40.28,978.54,11.85,Successful,80.66,10,11,1,0,Yes,7,High,Good,No,,Successful,Yes,7.700163207384182,Northern,3,Medium,7,Short,Moderate,Low,Mild,High,Good,Moderate,1,21,"-27.3,-40.84 -> 10.45,-87.79",Balanced,0
Barn Swallow,Africa,Coastal,Cloudy,Breeding,-27.236,-9.243,-43.255,-36.7779,2348.04,93.05,26.6,2752.61,2031.47,21.48,10.2,60.46,1028.99,17.56,Successful,91.24,11,1,1,2,No,1,Medium,Fair,No,,Successful,Yes,1.2874709301105054,Southern,2,Solo,1,Medium,Low,High,Warm,Low,Good,Moderate,1,2,"-27.24,-9.24 -> -43.25,-36.78",Balanced,0
Arctic Tern,North America,Forest,Cloudy,Climate,55.448,-117.5942,1.0018,-127.9328,1312.75,22.89,70.21,1978.47,1745.35,25.73,14.86,81.62,1006.58,13.79,Successful,67.1,5,9,2,3,Yes,39,Low,Fair,Yes,Food Shortage,Unsuccessful,No,,Northern,1,Large,39,Medium,High,Medium,Warm,Low,Good,Very High,0,39,"55.45,-117.59 -> 1.0,-127.93",Balanced,0
