feature,sample_count,success_count,failure_count,success_rate,baseline_success_rate,lift
Food_Supply_Level,3062,2235,827,0.7299150881776617,0.5,1.4598301763553234
Weather_Condition,2985,2079,906,0.6964824120603015,0.5,1.392964824120603
Migration_Start_Month,831,478,353,0.5752105896510229,0.5,1.1504211793020458
Weather_Condition,2161,1243,918,0.5751966682091624,0.5,1.1503933364183248
Migration_Reason,2007,1145,862,0.5705032386646737,0.5,1.1410064773293473
Migration_Start_Month,777,428,349,0.5508365508365508,0.5,1.1016731016731016
Migrated_in_Flock,6226,3397,2829,0.545615162222936,0.5,1.091230324445872
Migration_Start_Month,864,471,393,0.5451388888888888,0.5,1.0902777777777777
Migration_End_Month,856,463,393,0.5408878504672897,0.5,1.0817757009345794
Migration_Start_Month,825,446,379,0.5406060606060606,0.5,1.0812121212121213
Migration_Start_Month,880,466,414,0.5295454545454545,0.5,1.059090909090909
Migration_Start_Month,837,443,394,0.5292712066905615,0.5,1.058542413381123
Origin,2008,1062,946,0.5288844621513944,0.5,1.0577689243027888
Species,1233,652,581,0.5287915652879156,0.5,1.0575831305758312
Migration_End_Month,835,441,394,0.5281437125748503,0.5,1.0562874251497005
Migration_End_Month,847,447,400,0.5277449822904369,0.5,1.0554899645808737
Species,1271,670,601,0.5271439811172305,0.5,1.054287962234461
Migration_End_Month,828,434,394,0.5241545893719807,0.5,1.0483091787439613
Migration_Reason,1953,1007,946,0.5156169994879672,0.5,1.0312339989759345
Habitat,2061,1062,999,0.5152838427947598,0.5,1.0305676855895196
Migration_End_Month,802,411,391,0.5124688279301746,0.5,1.0249376558603491
Food_Supply_Level,4506,2307,2199,0.5119840213049268,0.5,1.0239680426098536
Migration_Reason,2035,1038,997,0.51007371007371,0.5,1.02014742014742
Habitat,1977,1006,971,0.5088517956499747,0.5,1.0177035912999495
Region,1927,980,947,0.508562532433835,0.5,1.01712506486767
Region,2042,1032,1010,0.5053868756121449,0.5,1.0107737512242898
Migration_End_Month,873,439,434,0.5028636884306987,0.5,1.0057273768613975
Habitat,2015,1012,1003,0.5022332506203474,0.5,1.0044665012406948
Origin,2007,1005,1002,0.5007473841554559,0.5,1.0014947683109119
Region,1970,984,986,0.49949238578680205,0.5,0.9989847715736041
Origin,2028,1012,1016,0.4990138067061144,0.5,0.9980276134122288
Region,2025,1010,1015,0.49876543209876545,0.5,0.9975308641975309
Species,1210,603,607,0.4983471074380165,0.5,0.996694214876033
Species,1273,634,639,0.49803613511390415,0.5,0.9960722702278083
Species,1301,645,656,0.4957724827056111,0.5,0.9915449654112222
Migration_End_Month,834,413,421,0.4952038369304556,0.5,0.9904076738609112
Species,1213,600,613,0.494641384995878,0.5,0.989282769991756
Origin,2024,996,1028,0.49209486166007904,0.5,0.9841897233201581
Habitat,1967,967,1000,0.49161159125571935,0.5,0.9832231825114387
Migration_Start_Month,847,415,432,0.4899645808736718,0.5,0.9799291617473436
Region,2036,994,1042,0.48821218074656186,0.5,0.9764243614931237
Migration_End_Month,801,391,410,0.48813982521847693,0.5,0.9762796504369539
Species,1256,609,647,0.48487261146496813,0.5,0.9697452229299363
Habitat,1980,953,1027,0.4813131313131313,0.5,0.9626262626262626
Origin,1933,925,1008,0.4785307811691671,0.5,0.9570615623383342
Migration_End_Month,857,407,450,0.4749124854142357,0.5,0.9498249708284714
Species,1243,587,656,0.47224456958970235,0.5,0.9444891391794047
Migration_End_Month,815,383,432,0.4699386503067485,0.5,0.939877300613497
Migration_Start_Month,838,392,446,0.4677804295942721,0.5,0.9355608591885441
Migration_End_Month,841,393,448,0.46730083234244946,0.5,0.9346016646848989
Migration_End_Month,811,378,433,0.46609124537607893,0.5,0.9321824907521579
Migration_Reason,2012,918,1094,0.4562624254473161,0.5,0.9125248508946322
Migration_Start_Month,794,356,438,0.44836272040302266,0.5,0.8967254408060453
Migration_Reason,1993,892,1101,0.44756648268941296,0.5,0.8951329653788259
Migration_Start_Month,869,388,481,0.44649021864211735,0.5,0.8929804372842347
Migration_Start_Month,811,357,454,0.4401972872996301,0.5,0.8803945745992602
Migration_Start_Month,827,360,467,0.43530834340991537,0.5,0.8706166868198307
Migrated_in_Flock,3774,1603,2171,0.42474827768945417,0.5,0.8494965553789083
Weather_Condition,1576,648,928,0.41116751269035534,0.5,0.8223350253807107
Weather_Condition,2460,875,1585,0.3556910569105691,0.5,0.7113821138211383
Weather_Condition,818,155,663,0.18948655256723718,0.5,0.37897310513447435
Food_Supply_Level,2432,458,1974,0.18832236842105263,0.5,0.37664473684210525
