rank,feature,gradient_boosting_importance,random_forest_importance,permutation_importance_mean,permutation_importance_std,correlation_with_success,absolute_correlation,gb_importance_normalized,rf_importance_normalized,permutation_importance_normalized,correlation_normalized,overall_importance_score
1,Food_Supply_Level,0.24669920707483756,0.16280423836373772,0.16419323211574835,0.004950100886706512,,,0.9200114314966009,1.0,1.0,0.0,0.8760034294489802
2,Temperature_C,0.2681479801544716,0.11764658448457625,0.13948676546002114,0.0033097765822232977,0.010797774985019458,0.010797774985019458,1.0,0.7025148571997284,0.8495281057728961,0.08618446420487191,0.7815819977409328
3,Weather_Condition,0.1769669608103327,0.10701194043901226,0.11526763691909783,0.002671712386919071,,,0.6599600739427073,0.6324569969975498,0.7020242882961197,0.0,0.6018107723358415
4,Visibility_km,0.04821474484002968,0.04353911184526521,0.030268874551800173,0.0020072329213518723,0.1252867913566384,0.1252867913566384,0.17980648152656115,0.21431695082341895,0.18434909990968487,1.0,0.2720433671322128
5,Wind_Speed_kmph,0.036548380931098134,0.03772710487695188,0.0202812379730102,0.0009510261622859282,-0.08737855779995772,0.08737855779995772,0.13629929604557814,0.17602918397991768,0.12352054778185316,0.6974283310618755,0.197872109638489
6,Predator_Sightings,0.024936091908245205,0.020716355697580825,0.017367709500071483,0.0011739791771255826,-0.09615763563103795,0.09615763563103795,0.09299377117769192,0.06396744662070558,0.10577603763733746,0.7675001856925038,0.15766162475080248
7,Flock_Size,0.02384111392846845,0.021961717358125174,0.016746903314465787,0.0013233883665143503,0.0912502032898632,0.0912502032898632,0.088910287203112,0.07217151746141813,0.10199508894897705,0.7283305949636187,0.15324730615479198
8,Average_Speed_kmph,0.02148522641723515,0.032613023669301425,0.010445983065930508,0.0016663773116024243,0.08928210215532398,0.08928210215532398,0.08012451335586487,0.1423391436952489,0.06362005870355601,0.712621826998312,0.15315134317664747
9,Max_Altitude_m,0.017698585738658092,0.030370663764244098,0.00871762018381692,0.0012600181312492382,0.06587886976946976,0.06587886976946976,0.06600305446441362,0.12756714605448108,0.05309366331050367,0.5258245426841568,0.12285793928003633
10,Flight_Duration_hours,0.011752224454894608,0.03217036760994359,0.0046532660991433165,0.0008707767163173112,-0.07184696050000068,0.07184696050000068,0.0438273838502327,0.13942305772271701,0.028340182108498767,0.573459977081565,0.11526904103188014
