feature,bin,sample_count,success_count,success_rate,baseline_success_rate,lift
Temperature_C,"(18.07, 24.092]",2498,1589,0.6361088871096877,0.5,1.2722177742193754
Temperature_C,"(12.07, 18.07]",2500,1571,0.6284,0.5,1.2568
Visibility_km,"(15.34, 30.0]",2495,1437,0.5759519038076152,0.5,1.1519038076152304
Flock_Size,"(22.0, 150.0]",2342,1316,0.5619128949615713,0.5,1.1238257899231425
Average_Speed_kmph,"(67.232, 110.0]",2500,1385,0.554,0.5,1.108
Flock_Size,"(10.0, 22.0]",2621,1435,0.5475009538344143,0.5,1.0950019076688287
Predator_Sightings,"(-0.001, 2.0]",4695,2560,0.5452609158679447,0.5,1.0905218317358893
Max_Altitude_m,"(2246.832, 4500.0]",2500,1361,0.5444,0.5,1.0888
Flight_Duration_hours,"(1.999, 19.918]",2500,1351,0.5404,0.5,1.0808
Min_Altitude_m,"(1626.185, 3900.7]",2500,1343,0.5372,0.5,1.0744
Wind_Speed_kmph,"(0.999, 12.18]",2502,1319,0.5271782573940847,0.5,1.0543565147881695
Start_Latitude,"(7.899, 37.885]",2500,1313,0.5252,0.5,1.0504
Wind_Speed_kmph,"(18.895, 27.72]",2501,1313,0.5249900039984007,0.5,1.0499800079968014
Visibility_km,"(12.06, 15.34]",2495,1304,0.5226452905811623,0.5,1.0452905811623245
Flight_Duration_hours,"(19.918, 31.195]",2500,1304,0.5216,0.5,1.0432
Rest_Stops,"(5.0, 13.0]",2097,1093,0.5212207916070577,0.5,1.0424415832141154
End_Latitude,"(38.113, 75.0]",2500,1299,0.5196,0.5,1.0392
End_Latitude,"(7.45, 38.113]",2500,1298,0.5192,0.5,1.0384
Humidity_%,"(60.015, 71.992]",2500,1295,0.518,0.5,1.036
Start_Latitude,"(37.885, 69.994]",2500,1293,0.5172,0.5,1.0344
Average_Speed_kmph,"(54.985, 67.232]",2500,1290,0.516,0.5,1.032
Max_Altitude_m,"(1801.41, 2246.832]",2500,1290,0.516,0.5,1.032
Rest_Stops,"(4.0, 5.0]",1578,814,0.5158428390367554,0.5,1.0316856780735109
Min_Altitude_m,"(1148.085, 1626.185]",2500,1287,0.5148,0.5,1.0296
Start_Longitude,"(0.794, 84.221]",2500,1287,0.5148,0.5,1.0296
Wind_Speed_kmph,"(12.18, 18.895]",2498,1278,0.5116092874299439,0.5,1.0232185748598879
Flight_Distance_km,"(1044.915, 1499.295]",2500,1271,0.5084,0.5,1.0168
Flight_Distance_km,"(232.819, 1044.915]",2500,1271,0.5084,0.5,1.0168
End_Longitude,"(84.014, 179.984]",2500,1271,0.5084,0.5,1.0168
Pressure_hPa,"(1013.19, 1025.035]",2498,1263,0.5056044835868695,0.5,1.011208967173739
Flight_Distance_km,"(1499.295, 2179.36]",2500,1261,0.5044,0.5,1.0088
Predator_Sightings,"(2.0, 3.0]",2241,1130,0.5042391789379741,0.5,1.0084783578759482
Humidity_%,"(47.622, 60.015]",2500,1259,0.5036,0.5,1.0072
End_Longitude,"(-179.939, -83.597]",2500,1257,0.5028,0.5,1.0056
Pressure_hPa,"(959.999, 1000.855]",2500,1257,0.5028,0.5,1.0056
Pressure_hPa,"(1000.855, 1013.19]",2502,1245,0.49760191846522783,0.5,0.9952038369304557
End_Longitude,"(-1.162, 84.014]",2500,1244,0.4976,0.5,0.9952
Humidity_%,"(71.992, 100.0]",2500,1243,0.4972,0.5,0.9944
Start_Longitude,"(-82.902, 0.794]",2500,1240,0.496,0.5,0.992
Start_Longitude,"(84.221, 169.983]",2500,1237,0.4948,0.5,0.9896
Start_Longitude,"(-169.965, -82.902]",2500,1236,0.4944,0.5,0.9888
Pressure_hPa,"(1025.035, 1050.0]",2500,1235,0.494,0.5,0.988
Rest_Stops,"(3.0, 4.0]",1988,981,0.49346076458752514,0.5,0.9869215291750503
Start_Latitude,"(-23.696, 7.899]",2500,1232,0.4928,0.5,0.9856
End_Latitude,"(-23.837, 7.45]",2500,1231,0.4924,0.5,0.9848
Average_Speed_kmph,"(42.49, 54.985]",2499,1229,0.491796718687475,0.5,0.98359343737495
End_Longitude,"(-83.597, -1.162]",2500,1228,0.4912,0.5,0.9824
Rest_Stops,"(-0.001, 3.0]",4337,2112,0.48697256167857966,0.5,0.9739451233571593
Flight_Duration_hours,"(31.195, 47.422]",2500,1216,0.4864,0.5,0.9728
Visibility_km,"(8.76, 12.06]",2502,1206,0.48201438848920863,0.5,0.9640287769784173
Min_Altitude_m,"(658.462, 1148.085]",2500,1204,0.4816,0.5,0.9632
Humidity_%,"(14.999, 47.622]",2500,1203,0.4812,0.5,0.9624
Flight_Distance_km,"(2179.36, 9000.0]",2500,1197,0.4788,0.5,0.9576
Max_Altitude_m,"(1350.345, 1801.41]",2500,1196,0.4784,0.5,0.9568
End_Latitude,"(-70.001, -23.837]",2500,1172,0.4688,0.5,0.9376
Min_Altitude_m,"(49.999, 658.462]",2500,1166,0.4664,0.5,0.9328
Start_Latitude,"(-54.980999999999995, -23.696]",2500,1162,0.4648,0.5,0.9296
Max_Altitude_m,"(199.999, 1350.345]",2500,1153,0.4612,0.5,0.9224
Flight_Duration_hours,"(47.422, 250.0]",2500,1129,0.4516,0.5,0.9032
Flock_Size,"(0.999, 10.0]",5037,2249,0.44649593011713323,0.5,0.8929918602342665
Average_Speed_kmph,"(14.999, 42.49]",2501,1096,0.4382247101159536,0.5,0.8764494202319072
Predator_Sightings,"(3.0, 4.0]",1552,678,0.4368556701030928,0.5,0.8737113402061856
Wind_Speed_kmph,"(27.72, 70.0]",2499,1090,0.4361744697879152,0.5,0.8723489395758304
Visibility_km,"(0.999, 8.76]",2508,1053,0.41985645933014354,0.5,0.8397129186602871
Predator_Sightings,"(4.0, 10.0]",1512,632,0.41798941798941797,0.5,0.8359788359788359
Temperature_C,"(24.092, 40.0]",2500,931,0.3724,0.5,0.7448
Temperature_C,"(-10.001, 12.07]",2502,909,0.36330935251798563,0.5,0.7266187050359713
