feature,permutation_importance_mean,permutation_importance_std,absolute_permutation_importance
Food_Supply_Level,0.16419323211574835,0.004950100886706512,0.16419323211574835
Temperature_C,0.13948676546002114,0.0033097765822232977,0.13948676546002114
Weather_Condition,0.11526763691909783,0.002671712386919071,0.11526763691909783
Visibility_km,0.030268874551800173,0.0020072329213518723,0.030268874551800173
Wind_Speed_kmph,0.0202812379730102,0.0009510261622859282,0.0202812379730102
Migration_Reason,0.01883192840473703,0.0013236705247068787,0.01883192840473703
Predator_Sightings,0.017367709500071483,0.0011739791771255826,0.017367709500071483
Flock_Size,0.016746903314465787,0.0013233883665143503,0.016746903314465787
Migration_Start_Month,0.011021220177477597,0.002259401160960687,0.011021220177477597
Average_Speed_kmph,0.010445983065930508,0.0016663773116024243,0.010445983065930508
Max_Altitude_m,0.00871762018381692,0.0012600181312492382,0.00871762018381692
Start_Latitude,0.0049729012882078205,0.0009500517195560038,0.0049729012882078205
Flight_Distance_km,0.0048410025487388595,0.0006510054540341263,0.0048410025487388595
Flight_Duration_hours,0.0046532660991433165,0.0008707767163173112,0.0046532660991433165
Start_Longitude,0.0033806075421335623,0.0006597067078096251,0.0033806075421335623
Humidity_%,0.003107655553773603,0.0005934218218681457,0.003107655553773603
Pressure_hPa,0.0026385379476830174,0.0006106926511199108,0.0026385379476830174
Min_Altitude_m,0.002429341303908328,0.0010032623314976217,0.002429341303908328
Rest_Stops,0.001833418843561274,0.00045602874857546136,0.001833418843561274
End_Longitude,0.0016792944573473466,0.0007398357211912355,0.0016792944573473466
End_Latitude,0.001673244043539479,0.0006305761703965653,0.001673244043539479
Region,0.0016070491811933207,0.0006225897556180645,0.0016070491811933207
Origin,0.0015417899619029729,0.00039991672520118925,0.0015417899619029729
Habitat,0.0009137706316597715,0.0005791669575926744,0.0009137706316597715
Migration_End_Month,0.0001877919520086868,0.00035226383279087284,0.0001877919520086868
Species,0.000142886571778722,0.0007421411694792733,0.000142886571778722
Migrated_in_Flock,0.0,0.0,0.0
