feature,importance
Food_Supply_Level,0.208603
Weather_Condition,0.134241
Temperature_C,0.133282
Visibility_km,0.042437
Wind_Speed_kmph,0.035321
Average_Speed_kmph,0.030312
Flight_Duration_hours,0.02864
Max_Altitude_m,0.027717
Flight_Distance_km,0.025359
Min_Altitude_m,0.024963
Humidity_%,0.024111
Start_Latitude,0.024064
End_Latitude,0.02397
End_Longitude,0.02352
Start_Longitude,0.023463
Pressure_hPa,0.023443
Flock_Size,0.020921
Migration_Reason,0.020114
Predator_Sightings,0.019632
Migration_Start_Month,0.016672
Migration_End_Month,0.014403
Migrated_in_Flock,0.013243
Species,0.012801
Rest_Stops,0.012751
Origin,0.0126
Region,0.011809
Habitat,0.011605
